Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
42291479,The Extended Mind: The Power of Thinking Outside the Brain,Annie Murphy Paul,"Paul, Annie Murphy",,"=""0544947584""","=""9780544947580""",0,4.04,Mariner Books,Kindle Edition,352,2021,2021,,2021/12/28,to-read,to-read (#85),to-read,,,,0,0
52962238,Principles for Dealing with the Changing World Order: Why Nations Succeed and Fail,Ray Dalio,"Dalio, Ray",,"=""1982160276""","=""9781982160272""",0,4.28,Avid Reader Press / Simon & Schuster,Hardcover,576,2021,2021,,2021/12/28,to-read,to-read (#84),to-read,,,,0,0
52382055,The Strangest Secret (An Official Nightingale Conant Publication),Earl Nightingale,"Nightingale, Earl",,"=""1640951075""","=""9781640951075""",0,4.43,Sound Wisdom,Kindle Edition,112,2019,1956,,2021/06/22,to-read,to-read (#77),to-read,,,,0,0
113934,The Goal: A Process of Ongoing Improvement,Eliyahu M. Goldratt,"Goldratt, Eliyahu M.",Jeff Cox,"=""0884271781""","=""9780884271789""",0,4.08,North River Press,Paperback,384,2004,1984,,2021/11/18,to-read,to-read (#83),to-read,,,,0,0
43723901,Lifespan: Why We Age―and Why We Don't Have To,David A. Sinclair,"Sinclair, David A.",,"=""1501191977""","=""9781501191978""",0,4.15,Atria Books,Hardcover,432,2019,2019,,2021/10/06,to-read,to-read (#82),to-read,,,,0,0
51942513,Think Like a Monk: Train Your Mind for Peace and Purpose Every Day,Jay Shetty,"Shetty, Jay",,"=""1982134488""","=""9781982134488""",0,4.20,Simon & Schuster,Hardcover,328,2020,2020,,2021/09/05,to-read,to-read (#81),to-read,,,,0,0
25111341,The Industries of the Future,Alec J. Ross,"Ross, Alec J.",,"=""1476753652""","=""9781476753652""",0,3.97,Simon & Schuster,Hardcover,320,2016,2016,,2021/09/02,to-read,to-read (#80),to-read,,,,0,0
52838315,Greenlights,Matthew McConaughey,"McConaughey, Matthew",,"=""0593139135""","=""9780593139134""",5,4.21,Crown,Hardcover,289,2020,2020,,2021/08/29,,,read,,,,1,0
50705179,Numbers Don't Lie: 71 Things You Need to Know About the World,Vaclav Smil,"Smil, Vaclav",,"=""0241454417""","=""9780241454411""",0,3.84,Viking,Hardcover,384,2020,2020,,2021/08/04,to-read,to-read (#79),to-read,,,,0,0
40121378,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,"Clear, James",,"=""""","=""""",5,4.34,Avery,Kindle Edition,319,2018,2018,2021/06/29,2019/07/23,,,read,,,,1,0
41215667,Building A Story Brand,Donald Miller,"Miller, Donald",,"=""""","=""""",0,4.27,,,,,2017,,2021/06/22,to-read,to-read (#78),to-read,,,,0,0
55361205,A Promised Land,Barack Obama,"Obama, Barack",,"=""1524763187""","=""9781524763183""",0,4.33,Crown,ebook,768,2020,2020,,2021/06/15,to-read,to-read (#75),to-read,,,,0,0
8549192,Traction,Gino Wickman,"Wickman, Gino",,"=""""","=""""",0,4.13,"Smashwords, Inc.",Nook,0,2010,2007,,2021/06/15,to-read,to-read (#74),to-read,,,,0,0
55297149,"Working Backwards: Insights, Stories, and Secrets from Inside Amazon",Colin Bryar,"Bryar, Colin",Bill Carr,"=""1250267609""","=""9781250267603""",4,4.22,St. Martin's Press,Kindle Edition,304,2021,2021,2021/06/14,2021/04/17,,,read,,,,1,0
126274,Understanding Media: The Extensions of Man,Marshall McLuhan,"McLuhan, Marshall",Lewis H. Lapham,"=""0262631598""","=""9780262631594""",0,4.10,The MIT Press,Paperback,389,1994,1964,,2021/05/31,to-read,to-read (#73),to-read,,,,0,0
61666,Contact,Carl Sagan,"Sagan, Carl",,"=""2266079999""","=""9782266079990""",0,4.15,Pocket,Mass Market Paperback,580,1997,1985,,2021/05/31,to-read,to-read (#72),to-read,,,,0,0
20518872,"The Three-Body Problem (Remembrance of Earth’s Past, #1)",Liu Cixin,"Cixin, Liu",Ken Liu,"=""""","=""""",0,4.08,Tor Books,Hardcover,472,2014,2006,,2021/05/31,to-read,to-read (#71),to-read,,,,0,0
23164946,The Surrender Experiment: My Journey into Life's Perfection,Michael A. Singer,"Singer, Michael A.",,"=""080414110X""","=""9780804141109""",0,4.08,Harmony,Paperback,252,2015,2015,,2021/05/11,to-read,to-read (#70),to-read,,,,0,0
50917885,Data Action: Using Data for Public Good,Sarah Williams,"Williams, Sarah",,"=""0262044196""","=""9780262044196""",0,4.15,The MIT Press,Hardcover,312,2020,,,2021/05/02,to-read,to-read (#69),to-read,,,,0,0
37880811,Make Time: How to Focus on What Matters Every Day,Jake Knapp,"Knapp, Jake",John Zeratsky,"=""0525572422""","=""9780525572428""",0,4.08,Crown Currency,Hardcover,287,2018,2018,,2021/05/02,to-read,to-read (#68),to-read,,,,0,0
23692271,Sapiens: A Brief History of Humankind,Yuval Noah Harari,"Harari, Yuval Noah",,"=""""","=""""",4,4.35,Vintage,Paperback,512,2015,2011,2021/05/02,2018/06/04,,,read,,,,1,0
1633,Getting Things Done: The Art of Stress-Free Productivity,David    Allen,"Allen, David",,"=""0142000280""","=""9780142000281""",0,4.01,Penguin Books,Paperback,267,2002,2001,,2021/04/27,to-read,to-read (#67),to-read,,,,0,0
641601,Ogilvy on Advertising,David Ogilvy,"Ogilvy, David",,"=""039472903X""","=""9780394729039""",0,4.15,Vintage,Paperback,224,1985,1983,,2021/04/25,to-read,to-read (#66),to-read,,,,0,0
55305389,Think Again: The Power of Knowing What You Don't Know,Adam M. Grant,"Grant, Adam M.",,"=""1984878115""","=""9781984878113""",5,4.15,Viking,ebook,319,2021,2021,2021/04/19,2020/10/08,,,read,,,,1,0
41881472,The Psychology of Money,Morgan Housel,"Housel, Morgan",,"=""0857197681""","=""9780857197689""",3,4.30,Harriman House,Paperback,252,2020,2020,2021/04/11,2021/03/07,,,read,,,,1,0
35580095,"Driven: Understanding and Harnessing the Genetic Gifts Shared by Entrepreneurs, Navy SEALs, Pro Athletes, and Maybe YOU",Douglas Brackmann,"Brackmann, Douglas",Randy Kelley,"=""1619616947""","=""9781619616943""",0,4.16,Lioncrest Publishing,Kindle Edition,247,2017,,,2021/03/25,to-read,to-read (#65),to-read,,,,0,0
28815,Influence: The Psychology of Persuasion,Robert B. Cialdini,"Cialdini, Robert B.",,"=""006124189X""","=""9780061241895""",0,4.22,Harper Business,Paperback,320,2006,1984,,2021/02/21,to-read,to-read (#64),to-read,,,,0,0
944652,Poor Charlie's Almanack: The Wit and Wisdom of Charles T. Munger,Charles T. Munger,"Munger, Charles T.",Peter E. Kaufman,"=""157864366X""","=""9781578643660""",0,4.42,Donning Co Pub,Hardcover,512,2006,2005,,2021/02/20,to-read,to-read (#63),to-read,,,,0,0
54898389,The Almanack of Naval Ravikant: A Guide to Wealth and Happiness,Eric Jorgenson,"Jorgenson, Eric",,"=""""","=""9781544514208""",4,4.44,Magrathea Publishing,Kindle Edition,244,2020,2020,2021/02/20,2020/10/10,,,read,,,,1,0
31823677,"Tools of Titans: The Tactics, Routines, and Habits of Billionaires, Icons, and World-Class Performers",Timothy Ferriss,"Ferriss, Timothy",Arnold Schwarzenegger,"=""""","=""""",0,4.10,Houghton Mifflin Harcourt,Kindle Edition,827,2016,2016,,2021/02/14,to-read,to-read (#62),to-read,,,,0,0
49099937,No Rules Rules: Netflix and the Culture of Reinvention,Reed Hastings,"Hastings, Reed",Erin Meyer,"=""0593152387""","=""9780593152386""",0,4.28,Random House Large Print,Paperback,464,2020,2020,,2021/02/09,to-read,to-read (#61),to-read,,,,0,0
18077875,Essentialism: The Disciplined Pursuit of Less,Greg McKeown,"McKeown, Greg",,"=""0804137382""","=""9780804137386""",0,4.06,Crown Currency,Hardcover,260,2014,2011,,2021/02/09,to-read,to-read (#60),to-read,,,,0,0
18290401,Show Your Work!: 10 Ways to Share Your Creativity and Get Discovered,Austin Kleon,"Kleon, Austin",,"=""076117897X""","=""9780761178972""",0,4.12,Workman Publishing Company,Paperback,215,2014,2014,,2021/02/05,to-read,to-read (#59),to-read,,,,0,0
34272565,Life 3.0: Being Human in the Age of Artificial Intelligence,Max Tegmark,"Tegmark, Max",Rob Shapiro,"=""0451485076""","=""9780451485076""",0,4.01,Random House Audio Publishing Group,Audio CD,384,2017,2017,,2021/02/04,to-read,to-read (#58),to-read,,,,0,0
97412,On the Shortness of Life: Life Is Long if You Know How to Use It (Penguin Great Ideas),Seneca,"Seneca, Seneca",C.D.N. Costa,"=""0143036327""","=""9780143036326""",0,4.18,Penguin Books,Paperback,106,2005,49,,2021/01/18,to-read,to-read (#57),to-read,,,,0,0
324750,High Output Management,Andrew S. Grove,"Grove, Andrew S.",,"=""0679762884""","=""9780679762881""",0,4.31,Vintage,Paperback,272,1995,1983,,2021/01/10,to-read,to-read (#56),to-read,,,,0,0
28951428,Radical Focus : Achieving Your Most Important Goals with Objectives and Key Results ( OKRs ),Christina Wodtke,"Wodtke, Christina",,"=""""","=""""",4,3.97,,Kindle Edition,147,2016,2016,2021/01/09,2020/12/27,,,read,,,,1,0
38657386,Leadership: In Turbulent Times,Doris Kearns Goodwin,"Goodwin, Doris Kearns",,"=""""","=""""",0,4.40,Simon & Schuster,Hardcover,473,2018,2018,,2021/01/03,to-read,to-read (#55),to-read,,,,0,0
34452,"Many Lives, Many Masters: The True Story of a Prominent Psychiatrist, His Young Patient, and the Past Life Therapy That Changed Both Their Lives",Brian L. Weiss,"Weiss, Brian L.",,"=""0446520594""","=""9780446520591""",0,4.17,Grand Central Publishing,Hardcover,224,1996,1988,,2021/01/02,to-read,to-read (#54),to-read,,,,0,0
1220421,Competing by Design: The Power of Organizational Architecture,David A. Nadler,"Nadler, David A.",,"=""0195099176""","=""9780195099171""",0,3.86,Oxford University Press,Hardcover,256,1997,1997,,2020/12/17,to-read,to-read (#53),to-read,,,,0,0
222096,Organizational Culture and Leadership,Edgar H. Schein,"Schein, Edgar H.",,"=""0787975974""","=""9780787975975""",0,4.08,Jossey-Bass Inc Pub,Paperback,437,2004,1985,,2020/12/17,to-read,to-read (#52),to-read,,,,0,0
198363,Managing With Power: Politics and Influence in Organizations,Jeffrey Pfeffer,"Pfeffer, Jeffrey",,"=""0875844405""","=""9780875844404""",0,3.93,Harvard Business Review Press,Paperback,400,1993,1992,,2020/12/17,to-read,to-read (#51),to-read,,,,0,0
49814228,"The Biggest Bluff: How I Learned to Pay Attention, Master Myself, and Win",Maria Konnikova,"Konnikova, Maria",,"=""052552262X""","=""9780525522621""",0,4.07,Penguin Press,Hardcover,368,2020,2020,,2020/11/23,to-read,to-read (#50),to-read,,,,0,0
27213329,Grit: The Power of Passion and Perseverance,Angela Duckworth,"Duckworth, Angela",,"=""1443442313""","=""9781443442312""",0,4.08,Collins,Hardcover,277,2016,2016,,2020/11/23,to-read,to-read (#49),to-read,,,,0,0
32452040,Ages of Discord,Peter Turchin,"Turchin, Peter",,"=""0996139540""","=""9780996139540""",0,4.11,Beresta Books,Paperback,274,2016,2016,,2020/11/13,to-read,to-read (#48),to-read,,,,0,0
22155,Let My People Go Surfing: The Education of a Reluctant Businessman,Yvon Chouinard,"Chouinard, Yvon",,"=""0143037838""","=""9780143037835""",0,4.19,Penguin Books,Paperback,272,2006,2006,,2020/10/17,to-read,to-read (#47),to-read,,,,0,0
55291921,"The Leader's Brain: Enhance Your Leadership, Build Stronger Teams, Make Better Decisions, and Inspire Greater Innovation with Neuroscience",Michael L. Platt,"Platt, Michael L.",,"=""1613630980""","=""9781613630983""",0,3.86, Wharton School Press,Kindle Edition,150,2020,,,2020/10/16,to-read,to-read (#46),to-read,,,,0,0
25789,The Book of Five Rings,Miyamoto Musashi,"Musashi, Miyamoto",Thomas Cleary,"=""1590302486""","=""9781590302484""",0,3.96,Shambhala Pubns,Paperback,166,2005,1645,,2020/10/01,to-read,to-read (#45),to-read,,,,0,0
5771014,"The Talent Code: Unlocking the Secret of Skill in Sports, Art, Music, Math, and Just About Everything Else",Daniel Coyle,"Coyle, Daniel",John Farrell,"=""1598878735""","=""9781598878738""",0,4.04,HighBridge Company,Audio CD,288,2009,2009,,2020/10/01,to-read,to-read (#44),to-read,,,,0,0
708531,Dinosaurs: A Very Short Introduction,David Norman,"Norman, David",,"=""0192804197""","=""9780192804198""",0,3.71,"Oxford University Press, USA",Paperback,192,2005,2005,,2020/09/27,to-read,to-read (#43),to-read,,,,0,0
44793413,"HBR's 10 Must Reads 2020: The Definitive Management Ideas of the Year from Harvard Business Review (with bonus article ""How CEOs Manage Time"" by Michael E. Porter and Nitin Nohria)",Harvard Business Review,"Review, Harvard Business","Michael E. Porter, Nitin Nohria, Katrina Lake, Paul R. Daugherty","=""1633698122""","=""9781633698123""",0,3.87,Harvard Business Review Press,Paperback,224,2019,2019,,2020/09/27,to-read,to-read (#42),to-read,,,,0,0
51152447,Caste: The Origins of Our Discontents,Isabel Wilkerson,"Wilkerson, Isabel",,"=""0593230256""","=""9780593230251""",0,4.53,Random House,Hardcover,544,2020,2020,,2020/09/27,to-read,to-read (#41),to-read,,,,0,0
7056263,Data-Driven Marketing: The 15 Metrics Everyone in Marketing Should Know,Mark Jeffery,"Jeffery, Mark",,"=""0470504544""","=""9780470504543""",0,3.90,Wiley,Hardcover,320,2010,2010,,2020/09/16,to-read,to-read (#40),to-read,,,,0,0
42270550,A Newborn Business: Esports,Zoltan Andrejkovics,"Andrejkovics, Zoltan",,"=""1723831050""","=""9781723831058""",0,4.26,Independently published,Paperback,101,2018,,,2020/09/13,to-read,to-read (#39),to-read,,,,0,0
31934424,My First Coach: Inspiring Stories of NFL Quarterbacks and Their Dads,Gary Myers,"Myers, Gary",,"=""1455598461""","=""9781455598465""",0,3.69,Grand Central Publishing,Hardcover,288,2017,,,2020/09/13,to-read,to-read (#38),to-read,,,,0,0
9278897,"The 4-Hour Work Week: Escape the 9-5, Live Anywhere and Join the New Rich",Timothy Ferriss,"Ferriss, Timothy",,"=""0091929113""","=""9780091929114""",0,3.92,Vermilion,Paperback,396,2011,2007,,2020/09/12,to-read,to-read (#37),to-read,,,,0,0
305860,Philosophy as a Way of Life: Spiritual Exercises from Socrates to Foucault,Pierre Hadot,"Hadot, Pierre",,"=""0631180338""","=""9780631180333""",0,4.32,Wiley-Blackwell,Paperback,320,1995,1981,,2020/08/23,to-read,to-read (#36),to-read,,,,0,0
97411,Letters from a Stoic,Seneca,"Seneca, Seneca",,"=""0140442103""","=""9780140442106""",0,4.34,Penguin Books,Paperback,254,2004,65,,2020/08/23,to-read,to-read (#35),to-read,,,,0,0
52674641,"Unacceptable: Privilege, Deceit & the Making of the College Admissions Scandal",Melissa Korn,"Korn, Melissa",Jennifer Levitz,"=""0593087720""","=""9780593087725""",0,3.94,Portfolio,Hardcover,384,2020,2020,,2020/08/16,to-read,to-read (#34),to-read,,,,0,0
18077903,"Creativity, Inc.: Overcoming the Unseen Forces That Stand in the Way of True Inspiration",Ed Catmull,"Catmull, Ed",Amy    Wallace,"=""0812993012""","=""9780812993011""",0,4.22,Random House,Hardcover,368,2014,2014,,2020/07/22,to-read,to-read (#33),to-read,,,,0,0
38315,Fooled by Randomness: The Hidden Role of Chance in Life and in the Markets (Incerto),Nassim Nicholas Taleb,"Taleb, Nassim Nicholas",,"=""0812975219""","=""9780812975215""",4,4.08,Random House Trade Paperbacks,Paperback,368,2005,2001,2020/07/21,2020/05/28,,,read,,,,1,0
53814358,Step Back: Bringing the Art of Reflection into Your Busy Life,Joseph L. Badaracco,"Badaracco, Joseph L.",,"=""1633698742""","=""9781633698741""",0,3.56,Harvard Business Review Press,Hardcover,176,2020,2020,,2020/07/14,to-read,to-read (#32),to-read,,,,0,0
90619,"Little, Big",John Crowley,"Crowley, John",,"=""0061120057""","=""9780061120053""",0,3.81,Harper Collins Publishers,Paperback,538,2006,1981,,2020/06/14,to-read,to-read (#31),to-read,,,,0,0
44525305,The Ride of a Lifetime: Lessons Learned from 15 Years as CEO of the Walt Disney Company,Robert Iger,"Iger, Robert",Joel Lovell,"=""""","=""""",5,4.41,Random House,Hardcover,272,2019,2019,2020/05/30,2020/05/19,,,read,,,,1,0
13586925,The Success Equation,Michael J. Mauboussin,"Mauboussin, Michael J.",,"=""1422184234""","=""9781422184233""",0,3.95,Harvard Business Review Press,Hardcover,320,2012,2012,,2020/05/28,to-read,to-read (#30),to-read,,,,0,0
45485081,The Logic Of Sports Betting,Ed Miller,"Miller, Ed",Matthew Davidow,"=""""","=""""",0,3.96,,Kindle Edition,239,2019,,,2020/05/28,to-read,to-read (#29),to-read,,,,0,0
26156469,Never Split the Difference: Negotiating As If Your Life Depended On It,Chris Voss,"Voss, Chris",Tahl Raz,"=""0062407805""","=""9780062407801""",0,4.36,Harper Business,Hardcover,274,2016,2016,,2020/05/12,to-read,to-read (#28),to-read,,,,0,0
40745,Mindset: The New Psychology of Success,Carol S. Dweck,"Dweck, Carol S.",,"=""""","=""""",0,4.10,Random House,Hardcover,276,2006,2006,,2020/05/12,to-read,to-read (#27),to-read,,,,0,0
13523061,The Defining Decade: Why Your Twenties Matter - And How to Make the Most of Them Now,Meg Jay,"Jay, Meg",,"=""0446575062""","=""9780446575065""",0,4.11,Twelve,Kindle Edition,241,2012,2012,,2020/05/12,to-read,to-read (#26),to-read,,,,0,0
37424706,The Art of Gathering: How We Meet and Why It Matters,Priya Parker,"Parker, Priya",,"=""1594634920""","=""9781594634925""",0,3.97,Riverhead Books,Hardcover,304,2018,2018,,2020/05/12,to-read,to-read (#25),to-read,,,,0,0
40796147,How To Raise Successful People: Simple Lessons for Radical Results,Esther Wojcicki,"Wojcicki, Esther",Естер Войчицькі,"=""1328974863""","=""9781328974860""",0,3.92,Mariner Books,Hardcover,336,2019,2019,,2020/05/12,to-read,to-read (#24),to-read,,,,0,0
25744928,Deep Work: Rules for Focused Success in a Distracted World,Cal Newport,"Newport, Cal",,"=""1455586692""","=""9781455586691""",0,4.18,Grand Central Publishing,Hardcover,296,2016,2016,,2020/05/12,to-read,to-read (#23),to-read,,,,0,0
32938155,"Option B: Facing Adversity, Building Resilience, and Finding Joy",Sheryl Sandberg,"Sandberg, Sheryl",Adam M. Grant,"=""0753548283""","=""9780753548288""",0,3.85,Penguin Export Editions,Paperback,240,2017,2017,,2020/05/12,to-read,to-read (#22),to-read,,,,0,0
316781,Exploring the World of Lucid Dreaming,Stephen LaBerge,"LaBerge, Stephen",Howard Rheingold,"=""034537410X""","=""9780345374103""",0,4.22,Ballantine Books,Mass Market Paperback,335,1991,1989,,2020/05/10,to-read,to-read (#21),to-read,,,,0,0
40947505,"Direct Truth: Uncompromising, non-prescriptive Truths to the enduring questions of life",Kapil Gupta,"Gupta, Kapil",,"=""""","=""""",0,4.40,,Kindle Edition,154,2018,,,2020/05/09,to-read,to-read (#20),to-read,,,,0,0
44512537,Growth: From Microorganisms to Megacities (Mit Press),Vaclav Smil,"Smil, Vaclav",,"=""0262042835""","=""9780262042833""",0,3.86,The MIT Press,Hardcover,664,2019,2019,,2020/04/15,to-read,to-read (#19),to-read,,,,0,0
4191136,Business adventures,John Brooks,"Brooks, John",,"=""0575003499""","=""9780575003491""",0,3.81,Littlehampton Book Services Ltd,Hardcover,408,1969,1969,,2020/04/15,to-read,to-read (#18),to-read,,,,0,0
36204285,Origin Story: A Big History of Everything,David Christian,"Christian, David",,"=""0316392006""","=""9780316392006""",0,4.06,"Little, Brown Spark",Hardcover,357,2018,2008,,2020/04/15,to-read,to-read (#17),to-read,,,,0,0
34890015,Factfulness: Ten Reasons We're Wrong About the World – and Why Things Are Better Than You Think,Hans Rosling,"Rosling, Hans","Ola Rosling, Anna Rosling Rönnlund","=""1473637465""","=""9781473637467""",0,4.36,Sceptre,Hardcover,342,2018,2018,,2020/04/15,to-read,to-read (#16),to-read,,,,0,0
11107244,The Better Angels of Our Nature: Why Violence Has Declined,Steven Pinker,"Pinker, Steven",,"=""0670022950""","=""9780670022953""",0,4.16,Viking,Hardcover,802,2011,2010,,2020/04/15,to-read,to-read (#15),to-read,,,,0,0
38242135,"AI Superpowers: China, Silicon Valley, and the New World Order",Kai-Fu Lee,"Lee, Kai-Fu",,"=""132854639X""","=""9781328546395""",4,4.10,Harper Business,Hardcover,255,2018,2018,2019/04/01,2018/12/16,,,read,,,,1,0
13,"The Ultimate Hitchhiker’s Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1-5)",Douglas Adams,"Adams, Douglas",,"=""0345453743""","=""9780345453747""",4,4.38,Del Rey Books,Paperback,815,2002,1996,2014/06/01,2014/05/23,,,read,,,,1,0
17271697,What It Takes: Seven Secrets of Success from the World's Greatest Professional Firms,Charles D. Ellis,"Ellis, Charles D.",,"=""1118653653""","=""9781118653654""",3,3.62,Wiley,Kindle Edition,304,2013,2013,2018/07/01,2018/06/04,,,read,,,,1,0
18718599,Daniel on McKinsey,Ron Daniel,"Daniel, Ron",,"=""""","=""""",4,4.65,,ebook,162,2013,2013,2018/07/01,2018/06/14,,,read,,,,1,0
41795733,Range: Why Generalists Triumph in a Specialized World,David   Epstein,"Epstein, David",,"=""0735214484""","=""9780735214484""",5,4.14,Riverhead Books,Hardcover,352,2019,2019,2020/04/04,2020/01/18,,,read,,,,1,0
43889703,The Man Who Solved the Market: How Jim Simons Launched the Quant Revolution,Gregory Zuckerman,"Zuckerman, Gregory",,"=""0241309727""","=""9780241309728""",0,4.04,Portfolio Penguin,Paperback,359,2019,2019,,2020/03/30,to-read,to-read (#14),to-read,,,,0,0
26240779,How to Listen to Jazz,Ted Gioia,"Gioia, Ted",,"=""0465060897""","=""9780465060894""",0,4.07,Basic Books,Hardcover,272,2016,2016,,2020/03/01,to-read,to-read (#13),to-read,,,,0,0
4948826,Sum: Forty Tales from the Afterlives,David Eagleman,"Eagleman, David",,"=""0307377342""","=""9780307377340""",0,4.12,Pantheon,Hardcover,110,2009,2009,,2020/02/08,to-read,to-read (#12),to-read,,,,0,0
43848929,Talking to Strangers: What We Should Know About the People We Don't Know,Malcolm Gladwell,"Gladwell, Malcolm",,"=""0316478520""","=""9780316478526""",4,4.00,"Little, Brown and Company",Hardcover,388,2019,2019,2019/10/18,2019/09/24,,,read,,,,1,0
26245038,"The Seventh Sense: Power, Fortune, and Survival in the Age of Networks",Joshua Cooper Ramo,"Ramo, Joshua Cooper",,"=""0316285064""","=""9780316285063""",3,3.70,"Little, Brown and Company",Hardcover,352,2016,2016,2019/07/13,2017/04/10,,,read,,,,1,0
11468377,"Thinking, Fast and Slow",Daniel Kahneman,"Kahneman, Daniel",,"=""0374275637""","=""9780374275631""",0,4.18,"Farrar, Straus and Giroux",Hardcover,499,2011,2011,,2019/07/13,to-read,to-read (#11),to-read,,,,0,0
34466963,Why We Sleep: Unlocking the Power of Sleep and Dreams,Matthew Walker,"Walker, Matthew",,"=""""","=""""",0,4.38,Scribner,Hardcover,368,2017,2017,,2018/12/16,to-read,to-read (#10),to-read,,,,0,0
12419,A Calendar of Wisdom: Daily Thoughts to Nourish the Soul,Leo Tolstoy,"Tolstoy, Leo",Peter Sekirin,"=""""","=""""",0,3.98,Scribner,Hardcover,384,1997,1906,,2018/12/16,to-read,to-read (#9),to-read,,,,0,0
334735,Complete Plain Words,Ernest A. Gowers,"Gowers, Ernest A.","Sidney Greenbaum, Janet Whitcut","=""0140511997""","=""9780140511994""",0,4.06,Penguin UK,Paperback,,2004,1954,,2018/07/02,to-read,to-read (#8),to-read,,,,0,0
33514,The Elements of Style,William Strunk Jr.,"Jr., William Strunk",E.B. White,"=""""","=""""",0,4.18,Allyn & Bacon,Hardcover,105,1999,1918,,2018/07/02,to-read,to-read (#7),to-read,,,,0,0
31138556,Homo Deus: A History of Tomorrow,Yuval Noah Harari,"Harari, Yuval Noah",,"=""""","=""""",0,4.20,Harper,Kindle Edition,450,2017,2015,,2018/06/14,to-read,to-read (#6),to-read,,,,0,0
35696171,"Enlightenment Now: The Case for Reason, Science, Humanism, and Progress",Steven Pinker,"Pinker, Steven",,"=""0525427570""","=""9780525427575""",0,4.20,Viking,Hardcover,576,2018,2018,,2018/02/01,to-read,to-read (#5),to-read,,,,0,0
8520610,Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,"Cain, Susan",,"=""0307352145""","=""9780307352149""",0,4.08,"Crown Publishing Group/Random House, Inc.",Hardcover,333,2012,2012,,2018/01/21,to-read,to-read (#4),to-read,,,,0,0
82256,The Sovereign Individual: Mastering the Transition to the Information Age,James Dale Davidson,"Davidson, James Dale",William Rees-Mogg,"=""0684832720""","=""9780684832722""",0,4.19,Touchstone,Paperback,448,1999,1997,,2017/08/15,to-read,to-read (#3),to-read,,,,0,0
3250347,The Happiness Trap: How to Stop Struggling and Start Living: A Guide to ACT,Russ Harris,"Harris, Russ",Steven C. Hayes,"=""1590305841""","=""9781590305843""",0,4.13,Trumpeter,Paperback,240,2008,2007,,2017/08/15,to-read,to-read (#2),to-read,,,,0,0
22543491,Proteinaholic: How Our Obsession with Meat Is Killing Us and What We Can Do About It,Garth Davis,"Davis, Garth",,"=""0062279300""","=""9780062279309""",0,4.29,HarperOne,Hardcover,400,2015,2015,,2017/05/06,to-read,to-read (#1),to-read,,,,0,0
